last_name,fisa_courts_reform_act,s_1551_iosra,fisa_improvements_act,fisa_transparency_and_modernization_act,surveillance_state_repeal_act,usa_freedom_prior_to_2014-05-18,voted_for_conyers_amash_amendment,voted_for_house_version_of_usa_freedom_act_2014,voted_for_massie_lofgren_amendment_2014,whistleblower_protection_for_ic_employees_contractors,1st_usaf_cloture_vote,straight_reauth,fisa_reform_act,amendment_1449_data_retention,amendment_1450_extend_implementation_to_1yr,amendment_1451_gut_amicus,final_passage_usaf,702_reforms,massie_lofgren_amendment_to_hr2685_defund_702,massie_lofgren_amendment_to_hr4870_no_backdoors
Kilmer,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Kind,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
King,,,,,,,,,,,BAD,GOOD,X,BAD,GOOD,BAD,OK,,,
King,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
King,,,,,,,,,X,,,,,,,,GOOD,,BAD,GOOD
Kinzinger,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Kirk,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,OK,,,
Kirkpatrick,,,,,,,,X,,,,,,,,,OK,,GOOD,
Kline,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Klobuchar,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Knight,,,,,,,,,,,,,,,,,OK,,BAD,
Kuster,,,,,,X,,X,X,,,,,,,,OK,,GOOD,GOOD
Labrador,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
LaMalfa,,,,,,X,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Lamborn,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Lance,,,,,,X,,X,X,,,,,,,,OK,,GOOD,GOOD
Langevin,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Lankford,,,,,,,,X,,,OK,BAD,,GOOD,GOOD,GOOD,OK,,,
Larsen,,,,,,X,,X,X,,,,,,,,OK,,GOOD,GOOD
Larson,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Latta,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Lawrence,,,,,,,,,,,,,,,,,OK,,GOOD,
Leahy,,X,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Lee,,,,,X,X,X,,X,,,,,,,,GOOD,X,BAD,GOOD
Lee,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Levin,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Lewis,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Lieu,,,,,,,,,,,,,,,,,GOOD,,GOOD,
Lipinski,,,,,,,,X,,,,,,,,,OK,,BAD,
LoBiondo,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Loebsack,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Lofgren,,,,,,X,X,,X,,,,,,,,OK,X,GOOD,GOOD
Long,,,,,,X,,X,,,,,,,,,OK,,BAD,BAD
Loudermilk,,,,,,,,,,,,,,,,,OK,,GOOD,
Love,,,,,,,,,,,,,,,,,OK,,GOOD,
Lowenthal,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Lowey,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Lucas,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Luetkemeyer,,,,,,X,,X,X,,,,,,,,OK,,BAD,GOOD
Luján,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,
Lujan Grisham,,,,,,,X,X,,,,,,,,,OK,,GOOD,GOOD
Lummis,,,,,,,X,,X,,,,,,,,GOOD,X,BAD,GOOD
Lynch,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
MacArthur,,,,,,,,,,,,,,,,,OK,,BAD,
Maloney,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Maloney,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Manchin,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Marchant,,,,,,X,X,,X,,,,,,,,OK,X,BAD,GOOD
Marino,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Markey,X,X,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Massie,,,,,X,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Matsui,,,,,,X,X,,X,,,,,,,,OK,,GOOD,GOOD
McCain,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
McCarthy,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
McCaskill,,,,,,,,,,X,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
McCaul,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
McClintock,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
McCollum,,,,,X,X,X,,X,,,,,,,,OK,X,GOOD,GOOD
McConnell,,,,,,,,,,,BAD,GOOD,,BAD,BAD,BAD,BAD,,,
McDermott,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
McGovern,,,,,X,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
McHenry,,,,,,,X,X,X,,,,,,,,OK,,BAD,GOOD
McKinley,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
McMorris Rodgers,,,,,,,X,X,X,,,,,,,,OK,,BAD,GOOD
McNerney,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
McSally,,,,,,,,,,,,,,,,,OK,,BAD,
Meadows,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Meehan,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Meeks,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Menendez,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Meng,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Merkley,X,X,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Messer,,,,,,X,,X,,,,,,,,,OK,,GOOD,BAD
Mica,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Mikulski,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Miller,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Miller,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Moolenaar,,,,,,,,,,,,,,,,,OK,,BAD,
Mooney,,,,,,,,,,,,,,,,,OK,,GOOD,
Moore,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Moran,,,,,,,,,,,GOOD,GOOD,,GOOD,GOOD,GOOD,GOOD,,,
Moulton,,,,,,,,,,,,,,,,,OK,,BAD,
Mullin,,,,,,X,X,X,X,,,,,,,,OK,,BAD,GOOD
Mulvaney,,,,,,X,X,,,,,,,,,,GOOD,,GOOD,
Murkowski,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Murphy,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Murphy,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Murphy,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Murray,X,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Nadler,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Napolitano,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Neal,,,,,X,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Nelson,,,,,,,,,,,OK,BAD,,BAD,BAD,GOOD,OK,,,
Neugebauer,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Newhouse,,,,,,,,,,,,,,,,,OK,,BAD,
Noem,,,,,,X,,X,X,,,,,,,,OK,,BAD,GOOD
Nolan,,,,,,,X,,X,,,,,,,,OK,,GOOD,GOOD
Norcross,,,,,,,,,,,,,,,,,OK,,GOOD,
Nugent,,,,,,X,X,X,X,,,,,,,,GOOD,,GOOD,GOOD
Nunes,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Olson,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
O'Rourke,,,,,,X,X,,X,,,,,,,,OK,X,GOOD,GOOD
Palazzo,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Pallone,,,,,,,,,X,,,,,,,,GOOD,,GOOD,GOOD
Palmer,,,,,,,,,,,,,,,,,OK,,BAD,
Pascrell,,,,,,,X,X,X,,,,,,,,OK,,BAD,GOOD
Paul,,X,,,,,,,,,GOOD,GOOD,,GOOD,GOOD,GOOD,GOOD,X,,
Paulsen,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Payne,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Pearce,,,,,,X,X,X,,,,,,,,,OK,,BAD,BAD
Pelosi,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Perdue,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Perlmutter,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Perry,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Peters,,,,,,X,,X,X,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,GOOD
Peters,,,,,,,,,,,,,,,,,OK,,BAD,BAD
Peterson,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Pierluisi,,,,,,X,X,X,X,,,,,,,,,,,
Pingree,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Pittenger,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Pitts,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Pocan,,,,,X,X,X,X,X,,,,,,,,GOOD,,GOOD,GOOD
Poe,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Poliquin,,,,,,,,,,,,,,,,,OK,,BAD,
Polis,,,,,,X,X,,,,,,,,,,GOOD,X,GOOD,
Pompeo,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Portman,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Posey,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Price,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Price,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Quigley,,,,,,X,,X,X,,,,,,,,OK,,BAD,GOOD
Rangel,,,,,,,X,X,,,,,,,,,GOOD,,GOOD,
Ratcliffe,,,,,,,,,,,,,,,,,OK,,GOOD,
Reed,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Reed,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Reichert,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Reid,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Renacci,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Ribble,,,,,,X,X,,X,,,,,,,,OK,X,GOOD,GOOD
Rice,,,,,,,,,,,,,,,,,OK,,BAD,
Rice,,,,,,,X,X,X,,,,,,,,OK,X,GOOD,GOOD
Richmond,,,,,,X,X,,,,,,,,,,OK,,GOOD,
Rigell,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Risch,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Roberts,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Roby,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Roe,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Rogers,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Rogers,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Rohrabacher,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Rokita,,,,,,X,,,X,,,,,,,,OK,,GOOD,GOOD
Rooney,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Roskam,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Ros-Lehtinen,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Ross,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Rothfus,,,,,,,X,,X,,,,,,,,OK,,GOOD,GOOD
Rounds,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,OK,,,
Rouzer,,,,,,,,,,,,,,,,,OK,,BAD,
Roybal-Allard,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Royce,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Rubio,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Ruiz,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Ruppersberger,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Rush,,,,,,,X,,,,,,,,,,GOOD,,GOOD,
Russell,,,,,,,,,,,,,,,,,OK,,BAD,
Ryan,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Ryan,,,,,,,,,,,,,,,,,OK,,GOOD,
Salmon,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Sanchez,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Sanchez,,,,,,,X,,X,,,,,,,,OK,,GOOD,GOOD
Sanders,,X,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,GOOD,,,
Sanford,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Sarbanes,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Sasse,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Scalise,,,,,,,X,X,X,,,,,,,,OK,,BAD,GOOD
Schakowsky,,,,,,X,,X,X,,,,,,,,GOOD,,GOOD,GOOD
Schatz,X,X,,,,,,,,,OK,GOOD,,GOOD,BAD,GOOD,OK,,,
Schiff,,,,,,,X,X,,,,,,,,,OK,,BAD,BAD
Schrader,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Schumer,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Schweikert,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Scott,,,,,,X,,X,X,,,,,,,,OK,,BAD,GOOD
Scott,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Scott,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Scott,,,,,,,,,,,OK,BAD,,BAD,BAD,GOOD,OK,,,
Sensenbrenner,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Serrano,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Sessions,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Sessions,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Sewell,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Shaheen,X,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Shelby,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Sherman,,,,,,X,X,X,X,,,,,,,,OK,,BAD,GOOD
Shimkus,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Shuster,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Simpson,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Sinema,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Sires,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Slaughter,,,,,,,,,X,,,,,,,,OK,,GOOD,GOOD
Smith,,,,,,,,,X,,,,,,,,OK,,GOOD,GOOD
Smith,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Smith,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Smith,,,,,,X,X,X,X,,,,,,,,OK,,BAD,GOOD
Smith,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Speier,,,,,,X,X,,X,,,,,,,,OK,,BAD,GOOD
Stabenow,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Stefanik,,,,,,,,,,,,,,,,,OK,,BAD,
Stewart,,,,,,X,X,X,X,,,,,,,,OK,,BAD,GOOD
Stivers,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Stutzman,,,,,,,,,X,,,,,,,,OK,,GOOD,GOOD
Sullivan,,,,,,,,,,,OK,BAD,,GOOD,GOOD,GOOD,OK,,,
Swalwell,,,,,,X,X,,X,,,,,,,,OK,,BAD,GOOD
Takai,,,,,,,,,,,,,,,,,GOOD,,GOOD,
Takano,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Tester,X,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Thompson,,,,,,X,X,,,,,,,,,,OK,,GOOD,
Thompson,,,,,,X,X,X,,,,,,,,,OK,,GOOD,BAD
Thompson,,,,X,,,,X,,,,,,,,,OK,,,BAD
Thornberry,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Thune,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Tiberi,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Tillis,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Tipton,,,,,,,X,,X,,,,,,,,OK,,GOOD,GOOD
Titus,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Tonko,,,,,,X,X,,X,,,,,,,,OK,,GOOD,GOOD
Toomey,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Torres,,,,,,,,,,,,,,,,,OK,,BAD,
Trott,,,,,,,,,,,,,,,,,OK,,BAD,
Tsongas,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Turner,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Udall,X,X,,,,,,,,X,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Upton,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Valadao,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Van Hollen,,,,,,,,X,X,,,,,,,,GOOD,X,GOOD,GOOD
Vargas,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Veasey,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Vela,,,,,,X,X,X,X,,,,,,,,OK,,GOOD,GOOD
Velázquez,,,,,,,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Visclosky,,,,,,,,,,,,,,,,,OK,,BAD,BAD
Vitter,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,OK,,,
Wagner,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Walberg,,,,,,,,X,,,,,,,,,OK,,GOOD,BAD
Walden,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Walker,,,,,,,,,,,,,,,,,OK,,GOOD,
Walorski,,,,,,,,,X,,,,,,,,OK,,BAD,GOOD
Walters,,,,,,,,,,,,,,,,,OK,,BAD,
Walz,,,,,,,X,,,,,,,,,,OK,,GOOD,
Warner,,,,,,,,,,,OK,GOOD,,GOOD,,,OK,,,
Warren,,,,,,,,,,,OK,GOOD,,GOOD,GOOD,GOOD,OK,,,
Wasserman Schultz,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Waters,,,,,,,X,X,X,,,,,,,,GOOD,,GOOD,GOOD
Watson Coleman,,,,,,,,,,,,,,,,,GOOD,,GOOD,
Weber,,,,,,X,X,,X,,,,,,,,GOOD,,GOOD,GOOD
Webster,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Welch,,,,,X,X,X,,X,,,,,,,,OK,X,GOOD,GOOD
Wenstrup,,,,,,,,X,X,,,,,,,,OK,,BAD,GOOD
Westerman,,,,,,,,,,,,,,,,,OK,,BAD,
Westmoreland,,,,X,,,,X,,,,,,,,,OK,,BAD,BAD
Whitehouse,X,,,,,,,,,,OK,GOOD,X,GOOD,GOOD,GOOD,OK,,,
Whitfield,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Wicker,,,,,,,,,,,BAD,BAD,,BAD,BAD,BAD,BAD,,,
Williams,,,,,,,X,X,X,,,,,,,,OK,,GOOD,GOOD
Wilson,,,,,,,,X,X,,,,,,,,OK,,GOOD,GOOD
Wilson,,,,,,X,X,X,,,,,,,,,OK,,BAD,BAD
Wittman,,,,,,X,,X,,,,,,,,,OK,,BAD,BAD
Womack,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Woodall,,,,,,,,X,X,,,,,,,,GOOD,,BAD,GOOD
Wyden,X,,,,,,,,,X,OK,GOOD,,GOOD,GOOD,GOOD,OK,X,,
Yarmuth,,,,,,,X,,X,,,,,,,,OK,,GOOD,GOOD
Yoder,,,,,,X,X,X,X,,,,,,,,GOOD,,GOOD,GOOD
Yoho,,,,,,X,X,,X,,,,,,,,GOOD,X,GOOD,GOOD
Young,,,,,,,,,,,,,,,,,OK,,GOOD,
Young,,,,,,X,X,X,,,,,,,,,OK,,GOOD,BAD
Young,,,,,,,,X,,,,,,,,,OK,,BAD,BAD
Zeldin,,,,,,,,,,,,,,,,,OK,,BAD,
Zinke,,,,,,,,,,,,,,,,,OK,,BAD,
